id,latitude,longitude,heading,speed_over_ground,last_ais_updated_at,created_at,updated_at,nav_status_code,vessel_id,course,collection_type,source,need_to_scan,velocity
3932889211,"39,10736667","119,182625",511,"0,1",2021-03-23 10:15:27,2021-03-23 10:18:34,2021-03-23 10:18:34,15,15502,0,0,spire,,
3932895248,"39,10737333","119,18264",511,"0,1",2021-03-23 10:20:07,2021-03-23 10:22:22,2021-03-23 10:22:22,15,15502,0,0,spire,,
3932945544,"39,10737667","119,1826317",511,"0,1",2021-03-23 10:32:28,2021-03-23 10:37:03,2021-03-23 10:37:03,15,15502,0,0,spire,,
3932945710,"39,107375","119,18263",511,"0,2",2021-03-23 10:35:08,2021-03-23 10:37:03,2021-03-23 10:37:03,15,15502,0,0,spire,,
3932982602,"39,10737333","119,182635",511,"0,1",2021-03-23 10:41:27,2021-03-23 10:47:10,2021-03-23 10:47:10,15,15502,0,0,spire,,
3933014235,"39,10737333","119,1826417",511,0,2021-03-23 10:50:07,2021-03-23 10:53:10,2021-03-23 10:53:10,15,15502,0,0,spire,,
3933032968,"39,10737","119,1826433",511,"0,1",2021-03-23 10:58:27,2021-03-23 11:01:44,2021-03-23 11:01:44,15,15502,0,0,spire,,
3933051271,"39,10737167","119,182645",511,"0,1",2021-03-23 11:01:08,2021-03-23 11:06:12,2021-03-23 11:06:12,15,15502,0,0,spire,,
3933062733,"39,10737","119,182645",511,0,2021-03-23 11:05:26,2021-03-23 11:08:58,2021-03-23 11:08:58,15,15502,0,0,spire,,
3933085360,"39,10737167","119,1826433",511,"0,2",2021-03-23 11:16:47,2021-03-23 11:18:33,2021-03-23 11:18:33,15,15502,"59,9",0,spire,,
3933135061,"39,10736667","119,182645",511,"0,1",2021-03-23 11:24:48,2021-03-23 11:26:50,2021-03-23 11:26:50,15,15502,0,0,spire,,
3933135121,"39,10736833","119,1826467",511,"0,2",2021-03-23 11:25:48,2021-03-23 11:26:50,2021-03-23 11:26:50,15,15502,0,0,spire,,
3933173472,"39,10737167","119,1826433",511,"0,3",2021-03-23 11:35:27,2021-03-23 11:36:30,2021-03-23 11:36:30,15,15502,"193,3",0,spire,,
3933216629,"39,10736333","119,1826467",511,"0,4",2021-03-23 11:44:27,2021-03-23 11:45:32,2021-03-23 11:45:32,15,15502,170,0,spire,,
3933228869,"39,10736333","119,1826467",511,"0,3",2021-03-23 11:46:07,2021-03-23 11:47:43,2021-03-23 11:47:43,15,15502,"183,6",0,spire,,
3933236242,"39,10736333","119,1826517",511,"0,2",2021-03-23 11:50:26,2021-03-23 11:51:18,2021-03-23 11:51:18,15,15502,0,0,spire,,
3933273669,"39,10735833","119,1826533",511,"0,2",2021-03-23 11:57:27,2021-03-23 11:58:29,2021-03-23 11:58:29,15,15502,0,0,spire,,
3933297197,"39,10736333","119,18265",511,"0,2",2021-03-23 12:02:07,2021-03-23 12:04:00,2021-03-23 12:04:00,15,15502,"19,4",0,spire,,
3933308945,"39,10737","119,182645",511,"0,3",2021-03-23 12:07:48,2021-03-23 12:09:04,2021-03-23 12:09:04,15,15502,"21,5",0,spire,,
3933316179,"39,10737167","119,182645",511,"0,5",2021-03-23 12:10:48,2021-03-23 12:11:49,2021-03-23 12:11:49,15,15502,"201,6",0,spire,,
3933347791,"39,10737333","119,1826617",511,"0,2",2021-03-23 12:18:07,2021-03-23 12:20:38,2021-03-23 12:20:38,15,15502,0,0,spire,,
3933362577,"39,10739167","119,18268",511,"0,3",2021-03-23 12:21:07,2021-03-23 12:23:19,2021-03-23 12:23:19,15,15502,"184,2",0,spire,,
3933366011,"39,10740833","119,182605",511,"1,1",2021-03-23 12:25:07,2021-03-23 12:26:00,2021-03-23 12:26:00,15,15502,"227,8",0,spire,,
3933370897,"39,10729667","119,18263",511,"0,1",2021-03-23 12:30:07,2021-03-23 12:30:30,2021-03-23 12:30:30,15,15502,0,0,spire,,
3933398500,"39,10745","119,182685",511,"0,3",2021-03-23 12:38:47,2021-03-23 12:39:29,2021-03-23 12:39:29,15,15502,"4,4",0,spire,,
3933423205,"39,10745667","119,1827267",511,"0,7",2021-03-23 12:40:38,2021-03-23 12:43:05,2021-03-23 12:43:05,15,15502,"32,2",0,spire,,
3933440620,"39,10739","119,182695",511,"0,4",2021-03-23 12:47:08,2021-03-23 12:48:40,2021-03-23 12:48:40,15,15502,"18,9",0,spire,,
3933461266,"39,10745167","119,1826333",511,"0,4",2021-03-23 12:54:27,2021-03-23 12:55:44,2021-03-23 12:55:44,15,15502,"168,2",0,spire,,
3933463999,"39,10744167","119,1826367",511,"0,1",2021-03-23 12:56:27,2021-03-23 12:57:28,2021-03-23 12:57:28,15,15502,0,0,spire,,
3933534001,"39,10741833","119,182635",511,0,2021-03-23 13:04:48,2021-03-23 13:09:53,2021-03-23 13:09:53,15,15502,0,0,spire,,
3933534187,"39,10741333","119,1826367",511,"0,1",2021-03-23 13:06:48,2021-03-23 13:09:53,2021-03-23 13:09:53,15,15502,0,0,spire,,
3933581720,"39,10739667","119,18264",511,0,2021-03-23 13:19:27,2021-03-23 13:20:51,2021-03-23 13:20:51,15,15502,0,0,spire,,
3933591349,"39,10739667","119,1826417",511,"0,1",2021-03-23 13:23:07,2021-03-23 13:24:37,2021-03-23 13:24:37,15,15502,0,0,spire,,
3933597211,"39,10739667","119,1826383",511,0,2021-03-23 13:26:07,2021-03-23 13:27:46,2021-03-23 13:27:46,15,15502,0,0,spire,,
3933618899,"39,10739333","119,1826433",511,"0,1",2021-03-23 13:33:07,2021-03-23 13:34:29,2021-03-23 13:34:29,15,15502,0,0,spire,,
3933682068,"39,10739","119,1826567",511,"0,2",2021-03-23 13:50:27,2021-03-23 13:51:35,2021-03-23 13:51:35,15,15502,"204,1",0,spire,,
3933843989,"39,10736","119,18266",511,"0,2",2021-03-23 14:36:37,2021-03-23 14:38:34,2021-03-23 14:38:34,15,15502,0,0,spire,,
3933856633,"39,10737833","119,182655",511,"0,2",2021-03-23 14:40:47,2021-03-23 14:42:53,2021-03-23 14:42:53,15,15502,0,0,spire,,
3933859328,"39,10735833","119,1826583",511,"0,2",2021-03-23 14:45:07,2021-03-23 14:45:40,2021-03-23 14:45:40,15,15502,"111,9",0,spire,,
3933875199,"39,10737833","119,182635",511,"0,7",2021-03-23 14:50:07,2021-03-23 14:51:32,2021-03-23 14:51:32,15,15502,"331,8",0,spire,,
3934088330,"39,10737333","119,18259",511,"0,2",2021-03-23 16:05:08,2021-03-23 16:08:41,2021-03-23 16:08:41,15,15502,0,0,spire,,
3934219200,"39,107385","119,1826383",511,"0,2",2021-03-23 16:54:08,2021-03-23 16:54:59,2021-03-23 16:54:59,15,15502,"1,2",0,spire,,
3934672619,"39,10736333","119,1826283",511,"0,1",2021-03-23 18:59:27,2021-03-23 19:01:12,2021-03-23 19:01:12,15,15502,0,0,spire,,
3934953989,"39,10739","119,1826383",511,"0,1",2021-03-23 20:18:07,2021-03-23 20:21:34,2021-03-23 20:21:34,15,15502,0,0,spire,,
3935094114,"39,10739333","119,1826317",511,"0,1",2021-03-23 21:00:08,2021-03-23 21:06:08,2021-03-23 21:06:08,15,15502,0,0,spire,,
3935558030,"39,10737667","119,182645",511,"0,1",2021-03-23 22:57:07,2021-03-23 23:01:48,2021-03-23 23:01:48,15,15502,0,0,spire,,
3935570132,"39,10737833","119,1826417",511,"0,1",2021-03-23 23:03:58,2021-03-23 23:09:06,2021-03-23 23:09:06,15,15502,0,0,spire,,
3935570172,"39,10737833","119,1826417",511,"0,3",2021-03-23 23:05:28,2021-03-23 23:09:06,2021-03-23 23:09:06,15,15502,"140,8",0,spire,,
3935577166,"39,107375","119,18264",511,"0,1",2021-03-23 23:10:48,2021-03-23 23:14:31,2021-03-23 23:14:31,15,15502,0,0,spire,,
3935590582,"39,10737667","119,1826367",511,"0,2",2021-03-23 23:15:08,2021-03-23 23:18:48,2021-03-23 23:18:48,15,15502,0,0,spire,,
3935595749,"39,10737167","119,1826383",511,"0,1",2021-03-23 23:20:07,2021-03-23 23:22:07,2021-03-23 23:22:07,15,15502,0,0,spire,,
3935602277,"39,10742333","119,1826033",511,"0,3",2021-03-23 23:25:08,2021-03-23 23:27:06,2021-03-23 23:27:06,15,15502,"343,2",0,spire,,
3935614054,"39,10736667","119,1827083",511,"0,3",2021-03-23 23:31:07,2021-03-23 23:32:59,2021-03-23 23:32:59,15,15502,"325,8",0,spire,,
3935648527,"39,10737333","119,1826317",511,"0,2",2021-03-23 23:39:28,2021-03-23 23:41:05,2021-03-23 23:41:05,15,15502,"277,6",0,spire,,
3935655987,"39,10737333","119,1826317",511,"0,3",2021-03-23 23:40:47,2021-03-23 23:43:07,2021-03-23 23:43:07,15,15502,"186,2",0,spire,,
3935664519,"39,10737333","119,1826283",511,"0,1",2021-03-23 23:48:46,2021-03-23 23:49:27,2021-03-23 23:49:27,15,15502,0,0,spire,,
3935673569,"39,10737333","119,182635",511,"0,1",2021-03-23 23:50:27,2021-03-23 23:52:59,2021-03-23 23:52:59,15,15502,0,0,spire,,
3935685640,"39,10737333","119,1826417",511,"0,1",2021-03-23 23:56:07,2021-03-23 23:57:57,2021-03-23 23:57:57,15,15502,0,0,spire,,
3935699159,"39,10735833","119,1826833",511,"0,2",2021-03-24 0:00:08,2021-03-24 0:01:56,2021-03-24 0:01:56,15,15502,0,0,spire,,
3935725380,"39,10734833","119,18268",511,"0,1",2021-03-24 0:06:26,2021-03-24 0:07:42,2021-03-24 0:07:42,15,15502,0,0,spire,,
3935741621,"39,107345","119,1826767",511,"0,4",2021-03-24 0:10:07,2021-03-24 0:12:36,2021-03-24 0:12:36,15,15502,"65,7",0,spire,,
3935745669,"39,10734833","119,1826683",511,"0,3",2021-03-24 0:15:06,2021-03-24 0:16:38,2021-03-24 0:16:38,15,15502,"171,5",0,spire,,
3935762089,"39,10666667","119,1816667",511,0,2021-03-23 20:10:52,2021-03-24 0:21:58,2021-03-24 0:21:58,15,15502,0,1,spire,,
3935762101,"39,10735667","119,1826633",511,"0,1",2021-03-24 0:20:48,2021-03-24 0:21:58,2021-03-24 0:21:58,15,15502,0,0,spire,,
3935793517,"39,10735333","119,1826833",511,"0,3",2021-03-24 0:26:48,2021-03-24 0:28:56,2021-03-24 0:28:56,15,15502,"134,9",0,spire,,
3935800546,"39,107355","119,1826767",511,"0,2",2021-03-24 0:30:07,2021-03-24 0:31:49,2021-03-24 0:31:49,15,15502,"178,9",0,spire,,
3935804145,"39,10739333","119,1826483",511,"0,2",2021-03-24 0:35:28,2021-03-24 0:36:07,2021-03-24 0:36:07,15,15502,"115,4",0,spire,,
3935815154,"39,10739","119,182645",511,"0,1",2021-03-24 0:40:58,2021-03-24 0:41:46,2021-03-24 0:41:46,15,15502,0,0,spire,,
3935832660,"39,107385","119,1826433",511,"0,2",2021-03-24 0:47:08,2021-03-24 0:48:23,2021-03-24 0:48:23,15,15502,0,0,spire,,
3935841317,"39,10737667","119,1826567",511,"0,3",2021-03-24 0:51:28,2021-03-24 0:52:31,2021-03-24 0:52:31,15,15502,"175,1",0,spire,,
3935860330,"39,10737333","119,1826583",511,"0,2",2021-03-24 0:58:26,2021-03-24 0:59:09,2021-03-24 0:59:09,15,15502,"329,4",0,spire,,
3935860810,"39,10737333","119,1826583",511,"0,2",2021-03-24 0:58:26,2021-03-24 1:00:15,2021-03-24 1:00:15,15,15502,"329,4",0,spire,,
3936020890,"39,10739333","119,1826683",511,"0,1",2021-03-24 1:29:47,2021-03-24 1:30:21,2021-03-24 1:30:21,15,15502,0,0,spire,,
3936034816,"39,10739167","119,1826717",511,"0,1",2021-03-24 1:31:27,2021-03-24 1:33:08,2021-03-24 1:33:08,15,15502,0,0,spire,,
3936040746,"39,10739","119,18267",511,"0,2",2021-03-24 1:35:08,2021-03-24 1:35:49,2021-03-24 1:35:49,15,15502,252,0,spire,,
3936063830,"39,10738333","119,182665",511,"0,2",2021-03-24 1:40:08,2021-03-24 1:42:41,2021-03-24 1:42:41,15,15502,0,0,spire,,
3936093675,"39,10738667","119,182665",511,"0,1",2021-03-24 1:45:18,2021-03-24 1:48:30,2021-03-24 1:48:30,15,15502,0,0,spire,,
3936110159,"39,10737667","119,1826483",511,"0,3",2021-03-24 1:51:18,2021-03-24 1:52:09,2021-03-24 1:52:09,15,15502,"136,9",0,spire,,
3936137908,"39,10737667","119,1826467",511,"0,3",2021-03-24 1:56:58,2021-03-24 1:58:30,2021-03-24 1:58:30,15,15502,"223,6",0,spire,,
3936151310,"39,10737833","119,1826483",511,"0,1",2021-03-24 2:00:57,2021-03-24 2:03:23,2021-03-24 2:03:23,15,15502,0,0,spire,,
3936180435,"39,10737667","119,1826467",511,"0,4",2021-03-24 2:05:08,2021-03-24 2:06:22,2021-03-24 2:06:22,15,15502,"348,3",0,spire,,
3936248293,"39,10737667","119,182645",511,"0,2",2021-03-24 2:13:58,2021-03-24 2:16:23,2021-03-24 2:16:23,15,15502,152,0,spire,,
3936248349,"39,10737833","119,1826433",511,"0,2",2021-03-24 2:15:36,2021-03-24 2:16:23,2021-03-24 2:16:23,15,15502,0,0,spire,,
3936288173,"39,10735833","119,1826433",511,"0,3",2021-03-24 2:22:47,2021-03-24 2:24:52,2021-03-24 2:24:52,15,15502,"157,9",0,spire,,
3936314904,"39,10737667","119,1826533",511,"0,1",2021-03-24 2:30:17,2021-03-24 2:31:48,2021-03-24 2:31:48,15,15502,0,0,spire,,
3936322192,"7,116736667","108,2340883",206,"16,7",2021-03-24 1:00:19,2021-03-24 2:36:20,2021-03-24 2:36:20,0,15502,208,1,spire,,
